Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
COORDINADOR DE PLANIFIC CONTROL DE GESTIÓN Y DOCUMENTOS,5,3148,37776,262.33,31.25,0,0,293.58
COORDINADOR DE COMPRAS ( E ),5,2230,26760,185.83,31.25,0,320,537.08
COORDINADOR DE MATERIALES,5,2660,31920,221.67,31.25,0,0,252.92
TÉCNICO ELÉCTRICO,3,2231,26772,194.82,31.25,106.9,0,332.97
SUPERINTENDENTE DE RCRS,6,4512,54144,376,31.25,0,0,407.25
INSPECTOR DE CONSTRUCCIONES,3,3062,36744,255.17,31.25,0,0,286.42
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2257,27084,188.08,31.25,0,342,561.33
COORDINADOR GENERAL DE SEGURIDAD Y AMBIENTE Z O/E/LIT/ESTR,6,4800,57600,400,31.25,0,0,431.25
OPERADOR LÍDER DE PLANTA,4,2543,30516,218.98,31.25,84.77,0,335
SUPERVISOR ELÉCTRICO,5,4126,49512,343.83,31.25,0,0,375.08
COORDINADOR ZONAL DE CONSORCIOS,5,2700,32400,225,31.25,0,0,256.25
SUPERVISOR DE MANTENIMIENTO,5,3225,38700,268.75,31.25,0,0,300
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,3000,36000,250,31.25,0,0,281.25
OPERADOR DE ISLA,3,2311,27732,216.66,31.25,288.87,0,536.78
SUPERVISOR DE PRODUCCIÓN,5,2760,33120,230,31.25,0,0,261.25
SUPERVISOR DE OVERHAUL  ( S ),5,2247,26964,187.25,31.25,0,352,570.5
SUPERVISOR ELÉCTRICO E INSTRUMENTACIÓN ( E ),5,2257,27084,188.08,31.25,0,443,662.33
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE (AUCA/SACHA),6,5441,65292,453.42,31.25,0,0,484.67
SUPERVISOR DE PLANTA ( E ),5,2543,30516,211.92,31.25,0,410,653.17
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2760,33120,230,31.25,0,0,261.25
OPERADOR DE PLANTA,3,2295,27540,206.59,31.25,184.08,0,421.92
TÉCNICO INSTRUMENTISTA,3,2247,26964,194.27,31.25,84.26,0,309.78
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
OPERADOR DE PLANTA,3,2335,28020,210.19,31.25,187.29,0,428.73
TÉCNICO INSTRUMENTISTA,3,2247,26964,187.25,31.25,0,0,218.5
SUPERVISOR DE REACONDICIONAMIENTO,5,3977,47724,390.45,31.25,708.39,0,1130.09
OPERADOR DE ISLA,3,2231,26772,200.83,31.25,178.94,0,411.02
OPERADOR LÍDER DE PLANTA  ( S ),4,2231,26772,185.92,31.25,0,337,554.17
INGENIERO DE OPERACIONES,5,3900,46800,325,31.25,0,0,356.25
SUPERVISOR DE PLANTA DE GENERACIÓN,5,4024,48288,335.33,31.25,0,0,366.58
OPERADOR DE PLANTA,3,2311,27732,208.03,31.25,185.36,0,424.64
SUPERVISOR DE ISLA,5,4014,48168,365.16,31.25,367.95,0,764.36
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
COORDINADOR DE SIG Y DOCUMENTOS,5,3500,42000,291.67,31.25,0,0,322.92
SUPERINTENDENTE DE MANTENIMIENTO,6,4361,52332,363.42,31.25,0,0,394.67
SUPERVISOR DE PRODUCCIÓN ( E ),5,2598,31176,223.72,31.25,86.6,0,341.57
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE,6,5655,67860,471.25,31.25,0,0,502.5
SUPERVISOR DE MANTENIMIENTO,5,3360,40320,280,31.25,0,0,311.25
OPERADOR LÍDER DE PLANTA,4,2606,31272,217.17,31.25,0,0,248.42
OPERADOR LÍDER DE PLANTA  ( S ),4,2250,27000,193.75,31.25,75,293,593
SUPERVISOR DE REACONDICIONAMIENTO ( E ),5,2413,28956,234.16,31.25,396.89,0,662.3
SUPERINTENDENTE DE SEGURIDAD,6,4000,48000,333.33,31.25,0,0,364.58
SUPERVISOR DE PLANTA,5,4097,49164,341.42,31.25,0,0,372.67
SUPERVISOR DE ISLA ( E ),5,2295,27540,191.25,31.25,0,658,880.5
SUPERINTENDENTE DE RCRS,6,4512,54144,376,31.25,0,0,407.25
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE,6,4800,57600,400,31.25,0,0,431.25
OPERADOR DE ISLA,3,2263,27156,203.71,31.25,181.51,0,416.47
INSPECTOR DE CONSTRUCCIONES,3,3423,41076,285.25,31.25,0,0,316.5
OPERADOR DE ISLA,3,2247,26964,210.85,31.25,283.21,0,525.31
OPERADOR LÍDER DE PLANTA  ( S ),4,2314,27768,192.83,31.25,0,0,224.08
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,3805,45660,317.08,31.25,0,0,348.33
GERENTE DE ACTIVO,7,6600,79200,550,31.25,0,0,581.25
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
SUPERVISOR DE ISLA,5,4097,49164,341.42,31.25,0,0,372.67
SUPERINTENDENTE DE MANTENIMIENTO,6,4361,52332,363.42,31.25,0,0,394.67
SUPERVISOR MECÁNICO,5,4052,48624,337.67,31.25,0,0,368.92
JEFE DE SEGURIDAD SALUD Y CONTROL AMBIENTAL  ( S ),6,4361,52332,363.42,31.25,0,0,394.67
SUPERVISOR DE PRODUCCIÓN ( E ),5,2311,27732,192.58,31.25,0,0,223.83
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
SUPERVISOR DE INSTRUMENTACIÓN,5,3100,37200,258.33,31.25,0,0,289.58
SUPERVISOR DE PLANTA,5,4097,49164,352.8,31.25,136.57,0,520.62
SUPERVISOR DE INSTRUMENTACIÓN,5,4136,49632,344.67,31.25,0,0,375.92
SUPERVISOR DE ISLA ( E ),5,2875,34500,239.58,31.25,0,78,348.83
SUPERINTENDENTE DE OPERACIONES ( E ),6,4136,49632,344.67,31.25,0,831,1206.92
OPERADOR DE ISLA,3,2295,27540,213.76,31.25,270.14,0,515.15
OPERADOR DE PLANTA DE GENERACIÓN,3,2295,27540,206.59,31.25,184.1,0,421.94
TÉCNICO MECÁNICO,3,2247,26964,187.25,31.25,0,0,218.5
SUPERVISOR DE MANTENIMIENTO,5,3375,40500,281.25,31.25,0,0,312.5
GERENTE DE FACILIDADES Y CONSTRUCCIONES ( E ),7,4417,53004,368.08,31.25,0,1822.2,2221.53
SUPERVISOR TI,5,4302,51624,358.5,31.25,0,0,389.75
ESPECIALISTA DE EJECUCIÓN Y CONTROL,4,2200,26400,183.33,31.25,0,0,214.58
RESERVORISTA,5,3638.17,43658.04,303.18,31.25,0,0,334.43
COORDINADOR DE EJECUCIÓN Y CONTROL DE COSTOS,5,3363,40356,280.25,31.25,0,0,311.5
SUPERVISOR ADMINISTRATIVO,5,2760,33120,230,31.25,0,0,261.25
JEFE DE CONTROL INTERNO,6,4440,53280,370,31.25,0,0,401.25
COORDINADOR DE TERRITORIO,5,5549,66588,462.42,31.25,0,0,493.67
OPERADOR DE PLANTA DE GENERACIÓN,3,2311,27732,199.2,31.25,79.44,0,309.89
SUPERVISOR DE MANTENIMIENTO,5,3004,36048,250.33,31.25,0,0,281.58
COORDINADOR ZONAL DE RIESGOS,5,5756,69072,479.67,31.25,0,0,510.92
SUPERINTENDENTE DE CONSTRUCCIONES,6,4361,52332,363.42,31.25,0,0,394.67
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE (AUCA/SACHA) ( E ),6,3360,40320,280,31.25,0,737,1048.25
COORDINADOR DE PROCEDIMIENTOS DE CONTRATACIÓN PAM,5,3075,36900,256.25,31.25,0,0,287.5
SUPERINTENDENTE DE CONSTRUCCIONES,6,5608,67296,467.33,31.25,0,0,498.58
SUPERVISOR RCRS,5,3150,37800,262.5,31.25,0,0,293.75
JEFE DE RODA E INTEGRIDAD MECÁNICA ( E ),6,3700,44400,308.33,31.25,0,661,1000.58
SUPERVISOR DE CONSTRUCCIONES,5,3363,40356,280.25,31.25,0,0,311.5
SUPERVISOR MECÁNICO,5,4052,48624,337.67,31.25,0,0,368.92
SUPERINTENDENTE DE CONSTRUCCIONES,6,4392,52704,366,31.25,0,0,397.25
SUPERINTENDENTE DE CONSTRUCCIONES ( E ),6,3313,39756,276.08,31.25,0,1048,1355.33
COORDINADOR DE MATERIALES,5,2433,29196,202.75,31.25,0,0,234
JEFE DE TECNOLOGÍA DE LA INFORMACIÓN,5,6200,74400,516.67,31.25,0,0,547.92
COORDINADOR GENERAL DE OPERACIONES DE TI,6,4000,48000,333.33,31.25,0,0,364.58
OPERADOR DE PLANTA,3,1964,23568,176.79,31.25,157.53,0,365.57
SUPERVISOR DE REACONDICIONAMIENTO ( E ),5,2311,27732,223.88,31.25,375.55,-108,522.68
TÉCNICO ELÉCTRICO (PLANTA DE GENERACIÓN),3,2017,24204,168.08,31.25,0,0,199.33
SUPERVISOR ELÉCTRICO ( E ),5,2100,25200,175,31.25,0,115,321.25
OPERADOR LÍDER DE ISLA  ( S ),4,2023,24276,168.58,31.25,0,575,774.83
OPERADOR DE PLANTA,3,2269,27228,210.55,31.25,257.62,0,499.42
OPERADOR LÍDER DE ISLA,4,2400,28800,200,31.25,0,0,231.25
SUPERVISOR TI,5,4119,49428,343.25,31.25,0,0,374.5
OPERADOR DE PLANTA,3,2023,24276,185.97,31.25,208.62,0,425.84
TÉCNICO INSTRUMENTISTA,3,2183,26196,181.92,31.25,0,0,213.17
ANALISTA DE GERENCIAMIENTO DE DATOS,3,1723,20676,143.58,31.25,0,0,174.83
OPERADOR DE ISLA,3,1735,20820,159.04,31.25,173.5,0,363.79
SUPERINTENDENTE DE MANTENIMIENTO,6,4361,52332,363.42,31.25,0,0,394.67
OPERADOR DE ISLA,3,1710,20520,147.4,31.25,58.78,0,237.43
GERENTE DE PLANIFICACIÓN Y ESTRATEGIA CORPORATIVA,7,6400,76800,533.33,31.25,0,0,564.58
OPERADOR LÍDER DE ISLA  ( S ),4,2125,25500,177.08,31.25,0,750,958.33
OPERADOR DE ISLA,3,2023,24276,168.58,31.25,0,0,199.83
INGENIERO DE AUTOMATIZACIÓN,5,5032,60384,419.33,31.25,0,0,450.58
OPERADOR DE ISLA,3,2023,24276,174.38,31.25,69.54,0,275.17
SUPERVISOR TI,5,3303,39636,275.25,31.25,0,0,306.5
TÉCNICO INSTRUMENTISTA,3,2168,26016,182.17,31.25,18.07,0,231.49
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN,3,2247,26964,187.25,31.25,0,0,218.5
OPERADOR DE PLANTA,3,1735,20820,156.18,31.25,139.16,0,326.59
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
ESPECIALISTA DE SEGURIDAD,4,2450,29400,204.17,31.25,0,0,235.42
GEOFÍSICO,5,4900,58800,408.33,31.25,0,0,439.58
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1754,21048,210.42,31.25,771.03,0,1012.7
OPERADOR DE PLANTA DE GENERACIÓN,3,2257,27084,218.25,31.25,362.04,0,611.54
TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO,3,1766,21192,147.17,31.25,0,0,178.42
SUPERVISOR DE PLANTA DE GENERACIÓN,5,2791,33492,232.58,31.25,0,0,263.83
INSPECTOR DE CONSTRUCCIONES,3,2817,33804,234.75,31.25,0,0,266
COORDINADOR DE CONTROL DE QUÍMICOS (ZONAL),5,3881,46572,323.42,31.25,0,0,354.67
TÉCNICO LÍDER DE PLANTA DE GENERACIÓN  ( S ),4,2002,24024,166.83,31.25,0,518,716.08
TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO,3,1766,21192,154.22,31.25,84.62,0,270.09
SUPERVISOR DE PLANTA DE GENERACIÓN,5,2772,33264,242.07,31.25,132.83,0,406.15
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,2311,27732,192.58,31.25,0,642,865.83
OPERADOR DE PLANTA DE GENERACIÓN,3,2161,25932,223.98,31.25,526.73,0,781.96
TÉCNICO LÍDER DE PLANTA DE GENERACIÓN  ( S ),4,2257,27084,188.08,31.25,0,503,722.33
ASISTENTE LOGÍSTICO FLUVIAL,2,1025,12300,85.42,31.25,0,0,116.67
CONSTRUCTOR COMUNITARIO,4,2149,25788,179.08,31.25,0,0,210.33
TÉCNICO AGROPECUARIO,4,2247,26964,187.25,31.25,0,0,218.5
SUPERVISOR RCRS,5,3300,39600,275,31.25,0,0,306.25
SUPERINTENDENTE DE MANTENIMIENTO,6,5450,65400,454.17,31.25,0,0,485.42
TÉCNICO AGROPECUARIO,4,2292,27504,191,31.25,0,0,222.25
CONSTRUCTOR COMUNITARIO,4,2247,26964,187.25,31.25,0,0,218.5
ASISTENTE ADMINISTRATIVO CAMPO,2,1492,17904,124.33,31.25,0,0,155.58
OPERADOR DE ISLA,3,1722,20664,153.37,31.25,118.39,0,303.01
ESPECIALISTA DE PROCESOS,4,2375,28500,197.92,31.25,0,0,229.17
SUPERINTENDENTE DE MANTENIMIENTO,6,5608,67296,467.33,31.25,0,0,498.58
COORDINADOR DE TERRITORIO,5,2850,34200,237.5,31.25,0,0,268.75
COORDINADOR DE CONTROL DE QUIMICOS,5,3739,44868,311.58,31.25,0,0,342.83
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,2002,24024,166.83,31.25,0,0,198.08
COORDINADOR DE COMPONENTES,5,2850,34200,237.5,31.25,0,0,268.75
SUPERVISOR TI,5,3457,41484,288.08,31.25,0,0,319.33
TÉCNICO MECÁNICO,3,2247,26964,187.25,31.25,0,0,218.5
COORDINADOR DE APLICACIONES DE NEGOCIOS,5,2953,35436,246.08,31.25,0,0,277.33
COORDINADOR DE APLICACIONES TÉCNICAS,5,2953,35436,246.08,31.25,0,0,277.33
ESPECIALISTA DE APLICACIONES DE NEGOCIOS,4,2294,27528,200.73,31.25,114.72,0,346.7
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
ABOGADO,4,2000,24000,166.67,31.25,0,0,197.92
OPERADOR DE PLANTA,3,1710,20520,153.93,31.25,137.16,0,322.34
SUPERVISOR DE MANTENIMIENTO ( E ),5,2183,26196,181.92,31.25,0,32,245.17
GERENTE DE PROYECTOS,7,6200,74400,516.67,31.25,0,0,547.92
AYUDANTE DE ALMACÉN,1,752,9024,62.67,31.25,0,0,93.92
ESPECIALISTA DE APLICACIONES DE NEGOCIOS,4,2225,26700,185.42,31.25,0,0,216.67
OPERADOR DE PLANTA,3,1723,20676,155.1,31.25,138.2,0,324.55
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE,6,4200,50400,350,31.25,0,0,381.25
INGENIERO DE OPERACIONES,5,3363,40356,280.25,31.25,0,0,311.5
ANALISTA DE CONTRATOS,3,2000,24000,166.67,31.25,0,0,197.92
MÉDICO OCUPACIONAL,4,2900,34800,396.74,31.25,1860.83,0,2288.82
COORDINADOR DE CONTROL DE COSTOS,5,2860,34320,238.33,31.25,0,0,269.58
INGENIERO DE PERFORACIÓN,5,5000,60000,416.67,31.25,0,0,447.92
INSPECTOR DE CONSTRUCCIONES,3,3001,36012,250.08,31.25,0,0,281.33
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE,6,4361,52332,363.42,31.25,0,0,394.67
COORDINADOR DE CONTROL PRESUPUESTARIO,5,2858,34296,238.17,31.25,0,0,269.42
JEFE DE CONTRATOS ( E ),6,3700,44400,308.33,31.25,0,1300,1639.58
COMPRADOR,3,1707,20484,142.25,31.25,0,0,173.5
COORDINADOR DE RECURSOS HUMANOS,5,2750,33000,229.17,31.25,0,0,260.42
SUPERINTENDENTE DE CONSTRUCCIONES,6,4361,52332,363.42,31.25,0,0,394.67
ASISTENTE ADMINISTRATIVO,2,1271,15252,105.92,31.25,0,0,137.17
SUPERVISOR DE CONSTRUCCIONES ( E ),5,3333,39996,277.75,31.25,0,0,309
RELACIONADOR COMUNITARIO  ( S ),4,1496,17952,124.67,31.25,0,760,915.92
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,1875,22500,156.25,31.25,0,340,527.5
COORD.EJECUCIÓN Y CONTROL ECONÓMICO DE CONTRATOS Y PROYECTO,5,3363,40356,280.25,31.25,0,0,311.5
INGENIERO CIVIL,5,2600,31200,216.67,31.25,0,0,247.92
ADMINISTRADOR DE GERENCIAMIENTO DE DATOS,4,1875,22500,156.25,31.25,0,0,187.5
ANALISTA DE CONTROL DE COSTOS,3,1800,21600,150,31.25,0,0,181.25
ANALISTA DE CONTROL DE COSTOS ( E ),3,1463,17556,121.92,31.25,0,0,153.17
ANALISTA DE CONTROL DE COSTOS,3,1818,21816,151.5,31.25,0,0,182.75
RESERVORISTA,5,2900,34800,241.67,31.25,0,0,272.92
SUPERVISOR RCRS,5,3000,36000,250,31.25,0,0,281.25
ESPECIALISTA DE GESTIÓN AMBIENTAL,4,2000,24000,166.67,31.25,0,0,197.92
COORDINADOR DE LOGÍSTICA DE PERSONAL,4,2107,25284,175.58,31.25,0,0,206.83
GEÓLOGO DE EXPLORACIÓN,5,3850,46200,320.83,31.25,0,0,352.08
COORDINADOR DE RECURSOS HUMANOS  ( S ),5,1419,17028,118.25,31.25,0,221.83,371.33
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,2433,29196,202.75,31.25,0,520,754
SUPERVISOR DE SEGURIDAD Y AMBIENTE,5,3000,36000,250,31.25,0,0,281.25
ANALISTA DE CONTROL DE COSTOS ( E ),3,1468,17616,122.33,31.25,0,0,153.58
INGENIERO DE PERFORACIÓN,5,2900,34800,241.67,31.25,0,0,272.92
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,2340,28080,195,31.25,0,130,356.25
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
SUPERINTENDENTE DE CONTRUCCIONES DE SOLUCIONES ENERGÉTICAS,6,5286,63432,440.5,31.25,0,0,471.75
SUPERVISOR RCRS,5,3300,39600,275,31.25,0,0,306.25
SUPERVISOR MECÁNICO ( E ),5,2273,27276,189.42,31.25,0,197,417.67
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE,6,4100,49200,341.67,31.25,0,0,372.92
SUPERVISOR RCRS ( E ),5,2701,32412,225.08,31.25,0,0,256.33
SUPERINTENDENTE DE CONSTRUCCIONES,6,5500,66000,458.33,31.25,0,0,489.58
COORDINADOR DE DESARROLLO ORGANIZACIONAL,5,2950,35400,245.83,31.25,0,0,277.08
INGENIERO DE SOPORTE DE GESTIÓN DE ACTIVOS ( E ),4,1489,17868,124.08,31.25,0,191,346.33
OPERADOR DE PLANTA DE GENERACIÓN,3,1907,22884,171.66,31.25,152.95,0,355.86
OPERADOR DE PLANTA DE GENERACIÓN,3,1907,22884,178.95,31.25,240.36,0,450.56
OPERADOR DE PLANTA DE GENERACIÓN,3,1907,22884,281.75,31.25,1473.95,0,1786.95
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,2520,30240,210,31.25,0,79,320.25
OPERADOR DE ISLA,3,1671,20052,143.89,31.25,55.7,0,230.84
OPERADOR DE PLANTA,3,1600,19200,133.33,31.25,0,0,164.58
SUPERVISOR DE CONSTRUCCIONES,5,3363,40356,280.25,31.25,0,0,311.5
ESPECIALISTA DE CONTRATOS ( E ),4,1700,20400,150.23,31.25,102.71,500,784.19
SUPERVISOR DE INSTRUMENTACIÓN ( E ),5,1742,20904,145.17,31.25,0,473,649.42
ESPECIALISTA DE SEGURIDAD,4,2150,25800,179.17,31.25,0,0,210.42
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,3034,36408,252.83,31.25,0,0,284.08
SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ),5,2880,34560,240,31.25,0,0,271.25
JEFE DE COMUNICACIÓN,6,5200,62400,433.33,31.25,0,0,464.58
AUXILIAR DE CAFETERIA,1,784,9408,65.33,31.25,0,0,96.58
SUPERVISOR DE CONSTRUCCIONES,5,3363,40356,280.25,31.25,0,0,311.5
ASESOR ( E ),6,4361,52332,363.42,31.25,0,0,394.67
ANALISTA ADMINISTRATIVA,3,1700,20400,141.67,31.25,0,0,172.92
INGENIERO DE CORROSIÓN Y QUÍMICOS,5,3809,45708,317.42,31.25,0,0,348.67
SUPERINTENDENTE DE MANTENIMIENTO (RODA),6,4361,52332,363.42,31.25,0,0,394.67
INGENIERO DE OPERACIONES  ( S ),5,3732,44784,368.02,31.25,684.2,0,1083.47
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,2500,30000,222.22,31.25,166.66,0,420.13
ADMINISTRADOR DE CAMPO ( E ),4,1383,16596,115.25,31.25,0,116,262.5
COORDINADOR DE COMPONENTES,5,2850,34200,237.5,31.25,0,0,268.75
ASISTENTE DE LOGISTICA Y DESPACHOS,2,1067,12804,112.08,31.25,277.9,0,421.23
COORDINADOR DE MATERIALES ( E ),5,1400,16800,116.67,31.25,0,815,962.92
JEFE DE PLANIFICACIÓN  ( S ),6,3000,36000,250,31.25,0,1361,1642.25
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN,3,2465,29580,205.42,31.25,0,0,236.67
JEFE ZONAL DE CONSTRUCCIONES ( E ),6,4200,50400,350,31.25,0,767,1148.25
SUPERINTENDENTE DE SEGURIDAD,6,4000,48000,333.33,31.25,0,0,364.58
SUPERINTENDENTE DE SEGURIDAD,6,4000,48000,333.33,31.25,0,0,364.58
ADMINISTRADOR DE INVENTARIO ( E ),3,1400,16800,116.67,31.25,0,0,147.92
ESPECIALISTA DE SEGURIDAD Y AMBIENTE,4,3009,36108,250.75,31.25,0,0,282
SUPERVISOR ELÉCTRICO,5,2983,35796,248.58,31.25,0,0,279.83
ANALISTA DE PROGRAMACIÓN DE COSTOS,3,1310,15720,116.44,31.25,87.33,0,235.02
SUPERVISOR MECÁNICO ( E ),5,2134,25608,177.83,31.25,0,81,290.08
SUPERINTENDENTE DE CONSTRUCCIONES,6,4357,52284,363.08,31.25,0,0,394.33
SUPERVISOR DE MANTENIMIENTO ( E ),5,2017,24204,168.08,31.25,0,198,397.33
SUPERVISOR ELÉCTRICO  ( S ),5,2134,25608,186.35,31.25,102.25,81,400.85
ESPECIALISTA DE APLICACIONES DE NEGOCIOS,4,1999,23988,167.62,31.25,12.49,0,211.36
ESPECIALISTA DE TI,4,2640,31680,220,31.25,0,0,251.25
INGENIERO DE CORROSIÓN Y QUÍMICOS,5,2953,35436,246.08,31.25,0,0,277.33
OPERADOR DE ISLA,3,1710,20520,153.93,31.25,137.16,0,322.34
TÉCNICO DE OPERACIONES,4,1722,20664,143.5,31.25,0,0,174.75
ESPECIALISTA DE APLICACIONES TÉCNICAS,4,2225,26700,185.42,31.25,0,0,216.67
COORDINADOR DE CONTROL DE COSTOS,5,2860,34320,238.33,31.25,0,0,269.58
COORDINADOR ZONAL DE CONSORCIOS,5,4200,50400,350,31.25,0,0,381.25
GERENTE DE MANTENIMIENTO ( E ),7,4967,59604,413.92,31.25,0,1289,1734.17
SUPERVISOR DE REACONDICIONAMIENTO ( E ),5,1404,16848,134.55,31.25,210.6,811,1187.4
ANALISTA PROMOTOR LABORAL,3,962,11544,80.17,31.25,0,0,111.42
ANALISTA PROMOTOR LABORAL,3,962,11544,80.17,31.25,0,0,111.42
ANALISTA DE FORMACIÓN,3,1096,13152,91.33,31.25,0,0,122.58
ANALISTA DE FORMACIÓN,3,1150,13800,95.83,31.25,0,0,127.08
ASISTENTE DE PROGRAMAS,2,811,9732,67.58,31.25,0,0,98.83
ANALISTA DE ORIENTACION LABORAL,3,955,11460,79.58,31.25,0,0,110.83
INGENIERO DE OPERACIONES,5,2240,26880,186.67,31.25,0,0,217.92
COORDINADOR DE CONTROL DE COSTOS,5,2860,34320,238.33,31.25,0,0,269.58
CONDUCTOR,2,753,9036,62.75,31.25,0,0,94
CONDUCTOR,5,753,9036,81.58,31.25,225.9,0,338.73
CONDUCTOR,5,753,9036,79.32,31.25,198.86,0,309.43
CONDUCTOR,5,763,9156,69.92,31.25,75.98,0,177.15
TÉCNICO AUTOMOTRIZ ( E ),3,753,9036,62.75,31.25,0,52.4,146.4
CONDUCTOR,1,753,9036,62.75,31.25,0,0,94
CONDUCTOR,5,753,9036,77.3,31.25,174.59,0,283.14
CONDUCTOR,5,763,9156,94.98,31.25,376.73,0,502.96
ADMINISTRADOR DE CAMPO ( E ),4,763,9156,63.58,31.25,0,0,94.83
CONDUCTOR,5,753,9036,81.58,31.25,225.9,0,338.73
CONDUCTOR,5,753,9036,62.75,31.25,0,0,94
ANALISTA DE RECURSOS HUMANOS,3,1215,14580,101.25,31.25,0,0,132.5
INGENIERO DE PERFORACIÓN,5,2900,34800,241.67,31.25,0,0,272.92
JEFE DE CONTROL DE GESTIÓN ( E ),6,3000,36000,250,31.25,0,751,1032.25
CONDUCTOR,5,670,8040,72.19,31.25,196.34,0,299.78
SUPERVISOR RCRS,5,3560,42720,296.67,31.25,0,0,327.92
ANALISTA DE ORIENTACION LABORAL,3,1139,13668,94.92,31.25,0,0,126.17
